id;fecha;tipo;distancia_km;duracion_min;calorias;fuente;nombre;estado
250;2023-11-04T18:25:35;Caminata;1.22;27.6;89.0;Apple;Caminata [Est];REPARADO (Estimado)
251;2023-11-04T11:38:36;Other;16.18;129.4;1035.0;Apple;Other [Est];REPARADO (Estimado)
252;2023-11-04T09:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
253;2023-10-29T17:29:58;Caminata;2.55;57.6;187.0;Apple;Caminata [Est];REPARADO (Estimado)
254;2023-10-28T09:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
255;2023-10-25T19:18:22;Caminata;2.16;48.8;159.0;Apple;Caminata [Est];REPARADO (Estimado)
256;2023-10-22T12:30:00;Tenis;2.01;50.0;347.0;Apple;Tenis [Est];REPARADO (Estimado)
257;2023-10-22T12:26:48;Tenis;2.55;63.3;439.0;Apple;Tenis [Est];REPARADO (Estimado)
258;2023-10-21T09:17:34;Tenis;2.25;55.8;387.0;Apple;Tenis [Est];REPARADO (Estimado)
259;2023-10-21T09:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
260;2023-10-20T18:54:01;Caminata;3.15;71.3;232.0;Apple;Caminata [Est];REPARADO (Estimado)
261;2023-10-17T19:02:59;Caminata;2.77;62.6;204.0;Apple;Caminata [Est];REPARADO (Estimado)
262;2023-10-15T18:18:13;Caminata;3.48;78.7;256.0;Apple;Caminata [Est];REPARADO (Estimado)
263;2023-10-14T11:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
264;2023-10-10T19:11:44;Caminata;2.83;63.9;208.0;Apple;Caminata [Est];REPARADO (Estimado)
265;2023-10-08T17:00:00;Tenis;4.23;105.0;729.0;Apple;Tenis [Est];REPARADO (Estimado)
266;2023-10-07T20:00:20;Carrera;1.89;15.1;120.0;Apple;Carrera [Est];REPARADO (Estimado)
267;2023-10-07T18:14:16;Caminata;2.92;66.0;215.0;Apple;Caminata [Est];REPARADO (Estimado)
268;2023-10-01T16:10:27;Tenis;3.51;87.2;605.0;Apple;Tenis [Est];REPARADO (Estimado)
269;2023-10-01T16:00:00;Tenis;4.23;105.0;729.0;Apple;Tenis [Est];REPARADO (Estimado)
270;2023-09-30T11:12:57;Tenis;2.24;55.6;386.0;Apple;Tenis [Est];REPARADO (Estimado)
271;2023-09-30T11:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
272;2023-09-29T18:27:24;Caminata;1.22;27.5;89.0;Apple;Caminata [Est];REPARADO (Estimado)
273;2023-09-23T17:33:31;Caminata;3.1;70.0;228.0;Apple;Caminata [Est];REPARADO (Estimado)
274;2023-09-23T11:07:21;Tenis;2.94;72.9;506.0;Apple;Tenis [Est];REPARADO (Estimado)
275;2023-09-23T11:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
276;2023-09-21T14:24:12;Caminata;0.96;21.6;70.0;Apple;Caminata [Est];REPARADO (Estimado)
277;2023-09-16T11:11:44;Tenis;3.33;82.8;575.0;Apple;Tenis [Est];REPARADO (Estimado)
278;2023-09-16T11:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
279;2023-09-15T18:46:33;Caminata;1.67;37.7;122.0;Apple;Caminata [Est];REPARADO (Estimado)
280;2023-09-10T13:00:00;Tenis;12.08;300.0;2083.0;Apple;Tenis [Est];REPARADO (Estimado)
281;2023-09-09T15:50:45;Caminata;2.02;45.6;148.0;Apple;Caminata [Est];REPARADO (Estimado)
282;2023-09-09T11:08:40;Tenis;5.05;125.5;871.0;Apple;Tenis [Est];REPARADO (Estimado)
283;2023-09-09T11:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
284;2023-09-08T18:51:34;Caminata;2.31;52.3;170.0;Apple;Caminata [Est];REPARADO (Estimado)
285;2023-09-02T11:11:54;Tenis;11.61;288.3;2002.0;Apple;Tenis [Est];REPARADO (Estimado)
286;2023-09-02T11:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
287;2023-08-31T18:49:22;Caminata;2.12;48.0;156.0;Apple;Caminata [Est];REPARADO (Estimado)
288;2023-08-27T15:59:20;Other;9.16;73.3;586.0;Apple;Other [Est];REPARADO (Estimado)
289;2023-08-26T11:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
290;2023-08-20T10:30:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
291;2023-08-19T11:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
292;2023-08-17T18:59:52;Carrera;0.56;4.5;36.0;Apple;Carrera [Est];REPARADO (Estimado)
293;2023-08-08T18:17:45;Tenis;2.27;56.3;391.0;Apple;Tenis [Est];REPARADO (Estimado)
294;2023-08-05T16:30:10;Caminata;2.22;50.1;163.0;Apple;Caminata [Est];REPARADO (Estimado)
295;2023-08-05T11:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
296;2023-07-29T11:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
297;2023-07-26T07:28:28;Tenis;0.47;11.7;81.0;Apple;Tenis [Est];REPARADO (Estimado)
298;2023-07-26T06:40:15;Tenis;0.05;1.2;8.0;Apple;Tenis [Est];REPARADO (Estimado)
299;2023-07-23T18:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
300;2023-07-22T11:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
301;2023-07-18T11:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
302;2023-07-15T12:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
303;2023-07-15T11:15:36;Tenis;4.84;120.1;834.0;Apple;Tenis [Est];REPARADO (Estimado)
304;2023-07-15T11:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
305;2023-07-08T11:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
306;2023-07-01T11:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
307;2023-06-24T11:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
308;2023-06-17T11:56:06;Tenis;0.9;22.4;155.0;Apple;Tenis [Est];REPARADO (Estimado)
309;2023-06-17T11:00:00;Tenis;2.42;60.0;416.0;Apple;Tenis [Est];REPARADO (Estimado)
310;2023-04-16T15:39:28;Caminata;0.29;6.5;21.0;Apple;Caminata [Est];REPARADO (Estimado)
311;2023-03-24T18:21:40;Carrera;5.41;43.3;346.0;Apple;Carrera [Est];REPARADO (Estimado)
312;2023-03-08T18:38:40;Caminata;2.26;51.1;166.0;Apple;Caminata [Est];REPARADO (Estimado)
